FamilyName	Subfamily	Tribe	Genus	Species	HostFamily	HostGenus	HostSpecies	HostCommonName
Miridae	Phylinae	Phylini	Pygovepres	vaccinicola	Fagaceae	Quercus	englemanni	NULL
Miridae	Phylinae	Phylini	Atractotomus	agrifoliae	Fagaceae	Quercus	engelmannii	NULL
Miridae	Phylinae	Phylini	Rubellomiris	sparus	Fagaceae	Quercus		NULL
Miridae	Phylinae	Phylini	Rubellomiris	sparus	Fagaceae	Quercus	chrysolepis	NULL
Miridae	Orthotylinae	Orthotylini	Paraproba	hamata	Fagaceae	Quercus	agrifolia	NULL
Miridae	Phylinae	Phylini	Phallospinophylus	setosus	Fagaceae	Quercus	sp	NULL
Miridae	Phylinae	Phylini	Chlamydatus	associatus	Fagaceae	Quercus	wislizeni	NULL
Miridae	Orthotylinae	Orthotylini	Melymacra	apicalis	Fagaceae	Quercus	wislizeni	interior live oak
Miridae	Phylinae	Phylini	Phallospinophylus	setosus	Fagaceae	Quercus	kellogii	NULL
Miridae	Orthotylinae	Orthotylini	Orthotylus	sp	Fagaceae	Quercus	palmeri	Palmer oak
Miridae	Phylinae	Phylini	Roburocoris	exiguus	Fagaceae	Quercus	dumosa	NULL
Miridae	Mirinae	Mirini	Irbisia	oreas	Fagaceae	Quercus	sp	NULL
Miridae	Mirinae	Mirini	Irbisia	sita	Fagaceae	Quercus	sp	NULL
Miridae	Mirinae	Mirini	Irbisia	cuneomaculata	Fagaceae	Quercus	sp	NULL
Miridae	Mirinae	Mirini	Irbisia	silvosa	Fagaceae	Quercus	sp	NULL
Pentatomidae	Pentatominae	Pentatomini	Acrosternum	hilare	Fagaceae	Quercus	chrysolepis	NULL
Miridae	Phylinae	Phylini	Tuxedo	flavicollis	Fagaceae	Quercus	wislizeni	NULL
Aphididae	Phyllaphidinae	Phyllaphidinae_none	Stegophylla	essigi	Fagaceae	Quercus	sp	oak
Aphididae	Thelaxinae	Thelaxinae_none	Thelaxes	californica	Fagaceae	Quercus	douglasii	blue oak
Aleyrodidae	Aleyrodinae	Aleyrodinae_none	Trialeurodes	drewsi	Fagaceae	Quercus	ilex	Holly Oak
Aphididae	Chaitophorinae	Chaitophorini	Chaitophorus	sp	Fagaceae	Quercus	lobata	Valley oak
Aphididae	Phyllaphidinae	Phyllaphidinae_none	Stegophylla	essigi	Fagaceae	Quercus	lobata	Valley oak
Aphididae	Calaphidinae	Panaphidini	Myzocallis (Neomyzocallis)	discolor	Fagaceae	Quercus	prinus	chestnut oak
Aphididae	Calaphidinae	Panaphidini	Myzocallis (Neomyzocallis)	punctata	Fagaceae	Quercus	macrocarpa	bur oak
Aphididae	Calaphidinae	Panaphidini	Myzocallis (Neomyzocallis)	punctata	Fagaceae	Quercus	macrocarpa	NULL
Aphididae	Calaphidinae	Panaphidini	Myzocallis (Lineomyzocallis)	walshii	Fagaceae	Quercus	coccinea	scarlet oak
Aphididae	Phyllaphidinae	Phyllaphidinae_none	Stegophylla	quercicola	Fagaceae	Quercus	douglasii	blue oak
Aleyrodidae	Aleyrodinae	Aleyrodinae_none	Trialeurodes	drewsi	Fagaceae	Quercus	agrifolia	Coast Live Oak
